Ticker,Name,Exchange,exchangeDisplay,Type,TypeDisplay
DKIEU,DKIEU,DKIEU,DKIEU,DKIEU,DKIEU
SKIVEK,SKIVEK,SKIVEK,SKIVEK,SKIVEK,SKIVEK
LSIVSE,LSIVSE,LSIVSE,LSIVSE,LSIVSE,LSIVSE
SSISEURR,SSISEURR,SSISEURR,SSISEURR,SSISEURR,SSISEURR
SSIPEURR,SSIPEURR,SSIPEURR,SSIPEURR,SSIPEURR,SSIPEURR
SSIGVEURR,SSIGVEURR,SSIGVEURR,SSIGVEURR,SSIGVEURR,SSIGVEURR
DKIEUFOK,DKIEUFOK,DKIEUFOK,DKIEUFOK,DKIEUFOK,DKIEUFOK
EGX30ETF,EGX30ETF,EGX30ETF,EGX30ETF,EGX30ETF,EGX30ETF
EXW1d,EXW1d,EXW1d,EXW1d,EXW1d,EXW1d
EXS1d,EXS1d,EXS1d,EXS1d,EXS1d,EXS1d
LVEp,LVEp,LVEp,LVEp,LVEp,LVEp
BREp,BREp,BREp,BREp,BREp,BREp
DBXEd,DBXEd,DBXEd,DBXEd,DBXEd,DBXEd
EXX1d,EXX1d,EXX1d,EXX1d,EXX1d,EXX1d
S7XEd,S7XEd,S7XEd,S7XEd,S7XEd,S7XEd
DEMVz,DEMVz,DEMVz,DEMVz,DEMVz,DEMVz
TELp,TELp,TELp,TELp,TELp,TELp
LYXIBe,LYXIBe,LYXIBe,LYXIBe,LYXIBe,LYXIBe
BNKEp,BNKEp,BNKEp,BNKEp,BNKEp,BNKEp
SS1EUz,SS1EUz,SS1EUz,SS1EUz,SS1EUz,SS1EUz
VUKEl,VUKEl,VUKEl,VUKEl,VUKEl,VUKEl
DEL2d,DEL2d,DEL2d,DEL2d,DEL2d,DEL2d
ISDEl,ISDEl,ISDEl,ISDEl,ISDEl,ISDEl
XESCm,XESCm,XESCm,XESCm,XESCm,XESCm
EIMIl,EIMIl,EIMIl,EIMIl,EIMIl,EIMIl
EMH5m,EMH5m,EMH5m,EMH5m,EMH5m,EMH5m
TAPETFK,TAPETFK,TAPETFK,TAPETFK,TAPETFK,TAPETFK
TAPETFO,TAPETFO,TAPETFO,TAPETFO,TAPETFO,TAPETFO
JPMBBUSEA,JPMBBUSEA,JPMBBUSEA,JPMBBUSEA,JPMBBUSEA,JPMBBUSEA
JPMBBUSED,JPMBBUSED,JPMBBUSED,JPMBBUSED,JPMBBUSED,JPMBBUSED
